Airport Name,Latitude,Longitude
Aamby Valley Airport,18.60961723N,73.37758636E
Abhinav Nagar AFS,19.21677589N,72.92015839E
Abu Road Airport,24.49419975N,72.78150177E
Adampur AFS (VIAX),31.43317795N,75.75815582E
Agartala Airport (IXA/VEAT),23.88699913N,91.24040222E
Agatti Island Airport (AGX/VOAT),10.82369995N,72.1760025E
Agra AFS (AGR/VIAG),27.15769005N,77.96092224E
Ahmedabad International Airport (AMD/VAAH),23.07194901N,72.6287384E
Ahmedabad SGVP Helipad,23.13337898N,72.53944397E
Aizawl Airport (AJL/VEAZ),23.7465992N,92.80280304E
Ajog Helipad,32.92189026N,76.45773315E
Akbarpur Airport,26.44759941N,82.56819916E
Akhnoor Heliport,32.95356369N,74.7237854E
Akkulam Helipad,8.52288818N,76.90804291E
Akola Airport (AKD/VAAK),20.6989994N,77.05860138E
Along Airport (IXV/VEAN),28.17427826N,94.80123138E
Amausi Airport (LKO/VILK),26.7602787N,80.87833405E
Ambala AFS (VIAM),30.37209892N,76.81387329E
Ambu Bet AFS,19.13616562N,72.79108429E
Amla Airport,21.92639923N,78.11360168E
Amravati Airstrip,20.81334877N,77.71791077E
Amreli Airstrip,21.61985016N,71.22333527E
Amritsar International Airport (ATQ/VIAR),31.70874786N,74.79774475E
Angul Airport (JSPL),20.91194916N,85.03258514E
Annandale Helipad,31.11138916N,77.15694427E
Army War College Helipad,22.52453041N,75.75422668E
Asham Air Base,34.24890518N,74.64897156E
Aurangabad Airport (IXU/VAAU),19.86269951N,75.39810181E
Avadi Helipad,13.14826298N,80.08043671E
"Aviation Research Centre, RAW Headquarter Helipad",30.70644951N,77.8615036E
Awantipur Air Force Station (VIAW),33.87659836N,74.97570038E
Baba Mastnath University Helipad,28.87486458N,76.6379776E
Bagdogra AFS (IXB/VEBD),26.68120003N,88.32859802E
Bahadurgarh Government College Helipad,28.67931366N,76.92920685E
Bakshi Ka Talab AFS (VIBL),26.98830032N,80.89309692E
Baljek Airport,25.66148758N,90.34503937E
Balurghat Airport (RGH/VEBG),25.26169968N,88.79560089E
Bamrauli AFS (IXD/VIAL),25.44009972N,81.73390198E
Banagram Helipad,23.38609505N,87.51454926E
Banasthali Airstrip,26.40768051N,75.86965179E
Band Tal Airstrip,26.00009918N,78.26180267E
Bangalore Dollars Helipad,13.01816273N,77.58151245E
Bangalore HAL Airport (VOBG),12.94999981N,77.66819763E
Banswara Airport,23.5897007N,74.31269836E
Bapatla Helipad,15.84618759N,80.49712372E
Baramati Airport,18.22694397N,74.59083557E
Barbil Aerodrome (JSPL),22.0486145N,85.37419128E
Bareilly AHP,28.33737755N,79.46124268E
Bareli AFS (BEK/VIBY),28.42210007N,79.45079803E
Barnala AFS,30.42404747N,75.55105591E
Barrackpore AFS (VEPI),22.78285027N,88.35960388E
Bathinda AFS (BUP/VIBT),30.27009964N,74.75579834E
Bathinda Air Base,30.23438454N,75.05001831E
Begumpet AFS (BPM/VOHY),17.4531002N,78.46759796E
Behala Airport (VEBA),22.5042305N,88.29342651E
Behora Airfield,26.63809395N,93.71163177E
Belgaum Airport (IXG/VABM),15.85929966N,74.61830139E
Bellary Airport (BEP/VOBI),15.16118431N,76.88245392E
Bengaluru International Airport (BLR/VOBL),13.20706749N,77.70388031E
Bengdubi Hospital Helipad,26.71475792N,88.32066345E
Bentayan Airport,23.0951004N,75.88529968E
Bhagalpur Airport,25.24935913N,87.00978088E
Bharkot Airport,30.58289909N,78.3234024E
Bhavnagar Airport (BHU/VABV),21.75219917N,72.18520355E
Bhilai Airport,21.2942009N,81.37950134E
Bhilwara Airport,28.07710075N,76.20500183E
Bhiwani Airport (VIBW),28.83699989N,76.17910004E
Bhopal Airport (BHO/VABP),23.28860474N,77.33023834E
Bhopal Helipad,23.22948647N,77.48256683E
BHU Airfield,25.25366783N,82.99105835E
Bhuj AFS (BHJ/VABJ),23.28779984N,69.67019653E
Bhuntar Airport (Kullu Airport) (KUU/VIBR),31.87669945N,77.15440369E
Bidar AFS (VOBR),17.90810013N,77.48709869E
Bihta AFS,25.59109116N,84.88339233E
Bijapur Helipad,16.83002281N,75.69142914E
Biju Patnaik Airport (BBI/VEBS),20.24440002N,85.81780243E
Bilaspur Airport (PAB/VABI),21.98839951N,82.11100006E
Bilaspur Helipad,31.34540367N,76.75666809E
Birlagram Airport,23.44689941N,75.42030334E
