city,cost_per_sqft,latitude,longitude,population
Visakhapatnam,2723.31,17.6868159,83.2184815,2035922.0
Vizianagaram,1491.25,18.1066576,83.3955506,228025.0
Vijayawada,3674.58,16.5061743,80.6480153,1048240.0
Tirupati,3795.67,13.6287557,79.4191795,374260.0
Guntur,4279.06,16.3066525,80.4365402,743354.0
Srikakulam,1641.62,18.2969747,83.8967813,125939.0
Nellore,2913.45,14.4425987,79.986456,499575.0
Kakinada,2663.59,16.9890648,82.2474648,312255.0
Eluru,5017.57,16.7106604,81.0952431,217876.0
Chittoor,1640.0,13.217176,79.1003289,153766.0
Ongole,890.4,15.5057232,80.049922,202826.0
Kadapa,4705.0,14.4673541,78.8241339,341823.0
Guwahati,4374.1,26.1445169,91.7362365,968549.0
Dibrugarh,1851.0,27.4728327,94.9119621,154019.0
Darbhanga,1939.67,26.111868,85.896004,306089.0
Patna,3658.63,25.5940947,85.1375645,2046652.0
Gaya,1501.83,24.7954523,84.999431,470839.0
Muzaffarpur,1232.14,26.1208876,85.3647201,393724.0
Bhagalpur,1775.0,25.2414303,86.9924358,410210.0
Purnia,2145.0,25.7771391,87.4752551,310817.0
Chandigarh,5474.21,30.7399738,76.7567368,1054686.0
Raipur,2454.45,21.2513844,81.6296413,1010087.0
Bilaspur,3065.14,22.0796251,82.1391412,330106.0
Durg,2211.33,21.1904494,81.2849169,894376.0
Jagdalpur,1199.0,19.0740973,82.008014,125345.0
Rajnandgaon,1159.5,21.0971034,81.0302222,263122.0
Delhi,24482.45,28.6139391,77.2090212,16314838.0
Gurgaon,9519.85,28.4594965,77.0266383,901968.0
Faridabad,4878.39,28.4089123,77.3177894,1404653.0
Palwal,4720.56,28.1487362,77.3320262,131121.0
Panipat,6206.69,29.3909464,76.9635023,442277.0
Hisar,15590.79,29.1491875,75.7216527,306893.0
Karnal,4830.6,29.6856929,76.9904825,303425.0
Panchkula,9617.9,30.6942091,76.860565,210175.0
Rewari,7841.7,28.1927631,76.6239423,140864.0
Yamunanagar,1930.7,30.1290485,77.2673901,383318.0
Ambala,8720.96,30.3781788,76.7766974,407934.0
Bhiwani,10534.0,28.7990445,76.1335112,197662.0
Rohtak,8907.14,28.8955152,76.606611,373133.0
Jind,2659.0,29.3211153,76.3058328,166225.0
Bahadurgarh,5025.45,28.6924464,76.9239727,170426.0
Shimla,7929.39,31.1048145,77.1734033,171817.0
Ranchi,3348.78,23.349649,85.334521,1126741.0
Jamshedpur,1984.41,22.8045665,86.2028754,1337131.0
Dhanbad,2496.47,23.7956531,86.4303859,1195298.0
Hazaribagh,2085.0,23.9966213,85.3691068,153599.0
Mysore,5267.2,12.2958104,76.6393805,887446.0
Hubli,7581.25,15.3647083,75.1239547,943857.0
Thiruvananthapuram,3354.14,8.5241391,76.9366376,957730.0
Bellary,699.5,15.1393932,76.9214428,409444.0
Mangalore,4504.01,12.9141417,74.8559568,499487.0
Gulbarga,6949.83,17.329731,76.8342957,532031.0
Mandya,1912.11,12.5221567,76.9009191,137358.0
Tumkur,2489.0,13.345018,77.101945,305821.0
Udupi,2426.25,13.3371151,74.746596,165401.0
Raichur,3624.25,16.2120031,77.3439283,232456.0
Shimoga,3691.33,13.9299299,75.568101,322428.0
Hassan,1387.5,13.0068142,76.0995519,173008.0
Belgaum,3654.0,15.8496953,74.4976741,490045.0
Bidar,3958.0,17.9148799,77.5046101,216020.0
Gadag,6500.0,15.4324651,75.6380337,172612.0
Bagalkot,699.0,16.1725355,75.6557206,12068.0
Thrissur,4158.31,10.5276416,76.2144349,325474.0
Kottayam,1461.18,9.5915668,76.5221531,129894.0
Kannur,3215.0,11.8744775,75.3703662,232634.0
Alappuzha,1112.86,9.4980667,76.3388484,174164.0
Kollam,2291.9,8.8932118,76.6141396,349033.0
Kochi,5948.24,9.9312328,76.2673041,612343.0
Palakkad,3194.11,10.7867303,76.6547932,131019.0
Calicut,2396.67,11.2587531,75.78041,432097.0
Malappuram,4199.67,11.0731819,76.0739999,101386.0
Indore,4636.38,22.7195687,75.8577258,2167447.0
Gwalior,3673.19,26.2182871,78.1828308,1101981.0
Bhopal,4283.98,23.2599333,77.412615,1883381.0
Katni,1031.0,23.8308453,80.4072255,221875.0
Sehore,1071.0,23.205012,77.0850781,109025.0
Jabalpur,2739.61,23.181467,79.9864071,1267564.0
Hoshangabad,2872.5,22.744108,77.736967,117956.0
Betul,1400.0,21.9108031,77.9011842,103341.0
Dewas,2093.5,22.9622672,76.0507949,289438.0
Chhindwara,2048.67,22.057437,78.9381729,190008.0
Dhar,2064.25,22.6012922,75.3024655,93917.0
Ujjain,2976.5,23.1793013,75.7849097,515215.0
Ratlam,4408.2,23.3341696,75.0376325,273892.0
Seoni,428.0,22.0868691,79.5434841,102377.0
Puri,2529.18,19.8133822,85.8314655,201026.0
Bhubaneswar,3834.41,20.295515,85.824797,881988.0
Balasore,2217.84,21.504467,86.922227,177557.0
Cuttack,4027.31,20.462521,85.8829895,658986.0
Bhadrak,1224.22,21.0582737,86.4958396,129152.0
Sambalpur,6690.0,21.4668716,83.9811665,269575.0
Jharsuguda,3500.0,21.8554375,84.0061661,97730.0
